Proposal Number:,type,pub_title,authors,reference_no
YSREP 2 - 011 - 2 - 002,Conference Paper,Half-Duplex Decode-Partial-Forward,Mohammad Shaqfeh and Hussein Alnuweiri,DOI:978-3-901882-45-6/2012
YSREP 2 - 011 - 2 - 002,Conference Paper,The Broadcast of Repetition Coding Achieves The Capacity Bounds of Decode-and-Forward,Mohammad Shaqfeh and Hussein Alnuweiri,DOI:978-1-4673-0762-8/12
YSREP 2 - 011 - 2 - 002,Conference Paper,Joint Scheduling for Dual-Hop Block-Fading Broadcast Channels,"Ammar Zafar, Mohammad Shaqfeh, Mohamed-Slim Alouini and Hussein Alnuweiri",DOI:Not known yet
YSREP 2 - 011 - 2 - 002,Conference Paper,Optimal Relay Selection for Decode-and-Forward Opportunistic Relaying,"Mohammad Shaqfeh, Fawaz Al-Qahtani and Hussein Alnuweiri",DOI:978-1-4673-2821-0/13
YSREP 2 - 011 - 2 - 002,Conference Paper,Adaptive Transmission and Dynamic resource Allocation for relay-Assisted Wireless Networks,"AlHasan AlSaammare, Mohammad Shaqfeh and Hussein Alnuweiri",DOI:978-1-4673-2821-0
YSREP 2 - 011 - 2 - 002,Conference Paper,Joint Scheduling for Dual-Hop Block-Fading Broadcast Channels,"Ammar Zafar, Mohammad Shaqfeh, Mohamed-Slim Alouini and Hussein Alnuweiri",DOI:978-1-4673-4941-3/12
YSREP 2 - 011 - 2 - 002,Conference Paper,Joint Opportunistic Scheduling and Network Coding for Bidirectional Relay Channel,"Mohammad Shaqfeh, Ammar Zafar, Hussein Alnuweiri, Mohamed-Slim Alouini",DOI:10.13/isit
YSREP 2 - 011 - 2 - 002,Journal Paper,Exploiting Multi-User Diversity and Multi-Hop Diversity in Dual-Hop Broadcast Channels,"Ammar Zafar, Mohammad Shaqfeh, Mohamed-Slim Alouini, Hussein Alnuweiri",ISSN:15361276
YSREP 2 - 011 - 2 - 002,Conference Paper,Joint Opportunistic Scheduling and Network Coding for Bidirectional Relay Channel,"Mohammad Shaqfeh, Ammar Zafar, Hussein Alnuweiri, Mohamed-Slim Alouini",DOI:978-1-4799-0446-4/13
YSREP 2 - 011 - 2 - 002,Conference Paper,Minimizing Flag-Collision Probability in Timer-Based Opportunsitic Relaying,"Mohammad Shaqfeh, Hussein Alnuweiri",DOI:not available yet
YSREP 2 - 011 - 2 - 002,Conference Paper,Cooperative Overlay Cognitive Radio with Opportunistic Link Selection,"Ammar Zafar, Mohammad Shaqfeh, Mohamed-Slim Alouini, Hussein Alnuweiri",DOI:not known now
YSREP 2 - 011 - 2 - 002,Conference Paper,Scheduling for Dual-Hop Block-Fading Channels with Two Source-User Pairs Sharing One Relay,"Ammar Zafar, Mohammad Shaqfeh, Mohamed-Slim Alouini, Hussein Alnuweiri",DOI:xx
YSREP 2 - 011 - 2 - 002,Journal Paper,Resource Allocation for Two Source-Destination Pairs Sharing a Single Relay with a Buffer,"Ammar Zafar, Mohammad Shaqfeh, Mohamed Slim Alouini, Hussein Alnuweiri",ISSN:00906778
YSREP 2 - 011 - 2 - 002,Book,Excellence and Impact of Research at Texas A&amp;M University at Qatar,Hussein Alnuweiri and Mohammad Shaqfeh,ISBN:9789992195338
YSREP 2 - 011 - 2 - 002,Conference Paper,Scheduling for Dual-Hop Block-Fading Channels with Two Source-User Pairs Sharing One Relay,"Ammar Zafar-author-first, Mohammad Shaqfeh-author-additional, Mohamed-Slim Alouini-author-additional, Hussein Alnuweiri-author-additional",DOI:10.1109/VTCFall.2013.6692401
YSREP 2 - 011 - 2 - 002,Conference Paper,Opportunistic transmitter selection for selfless overlay cognitive radios,"Mohammad Shaqfeh-author-first, Ammar Zafar-author-additional, Hussein Alnuweiri-author-additional, Mohamed-Slim Alouini-author-additional",DOI:10.1109/ACSSC.2013.6810543
YSREP 2 - 011 - 2 - 002,Conference Paper,Joint opportunistic scheduling and network coding for bidirectional relay channel,"Mohammad Shaqfeh-author-first, Ammar Zafar-author-additional, Hussein Alnuweiri-author-additional, Mohamed-Slim Alouini-author-additional",DOI:10.1109/ISIT.2013.6620442
YSREP 2 - 011 - 2 - 002,Conference Paper,On Multiple Users Scheduling Using Superposition Coding over Rayleigh Fading Channels,"Ammar Zafar-author-first, Mohammad Shaqfeh-author-additional, Mohamed-Slim Alouini-author-additional, Hussein Alnuweiri-author-additional",DOI:10.1109/LCOMM.2013.021213.122465
UREP23-146-5-034,,,,
YSREP 1 - 019 - 2 - 008,Conference Paper,Visual Simultaneous Localization And Mapping With Stereo And Wide-angle Imagery,"Peter Hansen, Muhammad Emaduddin, Sidra Alam, Brett Browning",DOI:10.5339/qfarc.2014.ITPP10009
