_id,Proposal Number:,Program Cycle:,Submitting Institution Name:,Project Status:,Start Date:,Lead Investigator:,Project Duration:,End Date:,SubmissionType:,Proposal Title:,Research Keyword 1,Research Keyword 2,Research Keyword 3,Research Keyword 4,Research Keyword 5,Research Type:,Personnel,Institution,URL
0,YSREP 2 - 011 - 2 - 002,YSREP,Texas A&M University at Qatar,Award Tech. Completed,15 Feb 2012,Dr. Mohammad Shaqfeh,2 Year(s),30 Jul 2014,New,Relaying Technologies for Next Generation Mobile Broadband Communication Systems,Next Generation Mobile Broadband Systems, Relay-Assisted Communication, Resource Allocation Algorithms, LTE-Advanced, Performance Analysis,Applied research,"[('PI', 'Dr. Mohammad Shaqfeh', 'Texas A&amp;M University at Qatar')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=4890&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
1,UREP23-146-5-034,UREP,Qatar University,Award Pending,,Dr. Mohamed Osman,1 Year(s),,Resubmission of [UREP22-142-5-042],Effectiveness of Augmented reality applications for developing some of basic skills among preschool children with autism spectrum disorder in Qatar,autism spectrum disorder, augmented virtual reality, basic skills, preschool children, qatar,Experimental Development,"[('Primary Research Mentor', 'Dr. Mohamed Osman', 'Qatar University'), ('Student', 'Mrs. maiada alnamroti', 'Qatar University'), ('Student', 'Mrs. garfh alhader', 'Qatar University'), ('Student', 'Miss fatima alsulaiti', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31828&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
2,YSREP 1 - 019 - 2 - 008,YSREP,Carnegie Mellon University - Qatar,Award Terminated,01 Oct 2012,Dr. Peter Hansen,3 Year(s),01 Oct 2015,New,Visual SLAM using an Array of Cameras,Localization and Mapping, SLAM, Stereo Vision, Omnidirection (Spherical) Vision, Mobile Robots,Applied research,"[('PI', 'Dr. Peter Hansen', 'Carnegie Mellon University - Qatar')]","[('Carnegie Mellon University - Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2697&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
3,YSREP 1 - 017 - 1 - 003,YSREP,Qatar University,Award Tech. Completed,01 Apr 2012,Dr. Dana Alabdulmalik,2 Year(s),20 Oct 2014,New,Modification and Automation of a Positron Annihilation Combined System for Studying Temperature-Dependent Microscopic Changes in Polymers,positron annihilation, Doppler broadening, material science, polymers, microscopic structures,Applied research,"[('PI', 'Dr. Dana Alabdulmalik', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2695&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
4,YSREP 1 - 018 - 1 - 004,YSREP,Carnegie Mellon University - Qatar,Award Tech. Completed,01 Apr 2012,Dr. Behrang Mohit,3 Year(s),04 Jul 2015,New,Expanding Arabic Wikipedia by Statisitcal Machine Translation,Human Language Technology, Natural Language Processing, Machine Translation, Wikipedia, Confidence Estimation,Applied research,"[('PI', 'Dr. Behrang Mohit', 'Carnegie Mellon University - Qatar')]","[('Carnegie Mellon University - Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2696&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
5,YSREP 1 - 009 - 3 - 003,YSREP,Weill Cornell Medical College in Qatar,Award Tech. Completed,01 Sep 2012,Dr. Rym SKANJI,1 Year(s),18 Dec 2013,New,Novel Fluorescence-quenching Lipid Probes for Intracellular Lipoplex Tracking,fluorescence-quenching, probes, intracellular, trafficking, non-viral vectors,Applied research,"[('PI', 'Dr. Rachel Jones', 'Weill Cornell Medical College in Qatar'), ('PI', 'Dr. Rym SKANJI', 'Qatar University')]","[('Weill Cornell Medical College in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2687&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
6,YSREP 1 - 002 - 5 - 001,YSREP,Qatar University,Award Tech. Completed,01 Apr 2012,Dr. Syed  Raza,2 Year(s),10 Dec 2014,New,Econometric Models for Revenue Management facing customers' cannibalization,Pricing, Customer behavior, Econometric models, Retail industry, Revenue management,Applied research,"[('PI', 'Dr. Syed  Raza', 'Qatar University'), ('Research Assistant', 'Dr. Najam Saqib', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2680&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
7,YSREP 1 - 033 - 1 - 006,YSREP,Carnegie Mellon University - Qatar,Award Tech. Completed,01 Apr 2012,Dr. Thierry Sans,3 Year(s),31 Mar 2015,New,A type-safe programming language to build safe and secure web applications,Language based security, Type Theory, Information Flow, Programming Language for the Web, Cloud Computing,Basic research,"[('PI', 'Dr. Thierry Sans', 'Carnegie Mellon University - Qatar')]","[('Carnegie Mellon University - Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2711&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
8,UREP23-148-5-036,UREP,Georgetown University School of Foreign Service in Qatar,Award Pending,,Dr. Jack Rossbach,1 Year(s),,Resubmission of [UREP22-013-5-006],Investigating the Resilience of Qatar’s Trade Network,Trade, Qatar, Risk analysis, Network analysis, GCC Crisis,Basic research,"[('Primary Research Mentor', 'Dr. Jack Rossbach', 'Georgetown University School of Foreign Service in Qatar'), ('Student', 'Ms. Alisha Kamran', 'Georgetown University School of Foreign Service in Qatar'), ('Student', 'Miss Halak Sheth', 'Georgetown University School of Foreign Service in Qatar')]","[('Georgetown University School of Foreign Service in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31830&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
9,UREP23-135-2-046,UREP,Qatar University,Award Pending,,Dr. Jolly Bhadra,1 Year(s),,New,Piezoelectric nanogenerators based on PVDF/metal oxide nanocomposites for self-powering devices,Piezoelectric, Energy harvesting, Renewable enegry, Nanocomposite, Electrospinning,Applied research,"[('Primary Research Mentor', 'Dr. Jolly Bhadra', 'Qatar University'), ('Student', 'Ms. Radwa mohamed', 'Qatar University'), ('Student', 'Miss Amal Daifallah', 'Qatar University'), ('Student', 'Miss ghidaa abdullah', 'Qatar University'), ('Student', 'Miss Noura AlSanari', 'Qatar University'), ('Research Mentor', 'Dr. Noora AL-Thani', 'Qatar University'), ('Research Mentor', 'Ms. Asma Al-kareem', 'Qatar University'), ('Research Mentor', 'Dr. Deepalekshmi Ponnamma', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31816&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
