_id,Proposal Number:,Program Cycle:,Submitting Institution Name:,Project Status:,Start Date:,Lead Investigator:,Project Duration:,End Date:,SubmissionType:,Proposal Title:,Research Keyword 1,Research Keyword 2,Research Keyword 3,Research Keyword 4,Research Keyword 5,Research Type:,Personnel,Institution,URL
0,YSREP 2 - 011 - 2 - 002,YSREP,Texas A&M University at Qatar,Award Tech. Completed,15 Feb 2012,Dr. Mohammad Shaqfeh,2 Year(s),30 Jul 2014,New,Relaying Technologies for Next Generation Mobile Broadband Communication Systems,Next Generation Mobile Broadband Systems, Relay-Assisted Communication, Resource Allocation Algorithms, LTE-Advanced, Performance Analysis,Applied research,"[('PI', 'Dr. Mohammad Shaqfeh', 'Texas A&M University at Qatar')]","[('Texas A&M University at Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=4890&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
1,UREP22-176-3-034,UREP,Weill Cornell Medical College in Qatar,Award Pending - Vetted,,Prof. Shahrad Taheri,1 Year(s),,New,Development of a Qatari Food Frequency Questionnaire,Nutritional assessment, Diet, Nutrition, Qualitative and Quantitative research, Questionnaire design,Applied research,"[('Primary Research Mentor', 'Prof. Shahrad Taheri', 'Weill Cornell Medical College in Qatar'), ('Industry Research Mentor', 'Mrs. Katie El Nahas', 'Qatar Diabetes Association, Qatar Foundation'), ('Student', 'Miss Lara Miranda', 'Weill Cornell Medical College in Qatar'), ('Student', 'Mr. Rei Myderrizi', 'Weill Cornell Medical College in Qatar'), ('Student', 'Miss Hiba Naveed', 'Weill Cornell Medical College in Qatar'), ('Student', 'Miss Muna Almasri', 'Weill Cornell Medical College in Qatar'), ('Student', 'Ms. Sara  Tomerak', 'Weill Cornell Medical College in Qatar'), ('Student', 'Miss Rawan Hussein', 'Weill Cornell Medical College in Qatar'), ('Research Mentor', 'Mr. Omar Omar', 'Weill Cornell Medical College in Qatar'), ('Research Mentor', 'Dr. Odette Chagoury', 'Weill Cornell Medical College in Qatar')]","[('Weill Cornell Medical College in Qatar', 'Qatar', 'Submitting Institution'), ('Qatar Diabetes Association, Qatar Foundation', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29409&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
2,UREP22-180-5-048,UREP,Georgetown University School of Foreign Service in Qatar,Award Pending - Vetted,,Dr. Alexis Antoniades,1 Year(s),,New,Qatar's establishment of infant industries in response to the blockade,blockade, Industries, Competition, quota, Qatar,Basic research,"[('Primary Research Mentor', 'Dr. Alexis Antoniades', 'Georgetown University School of Foreign Service in Qatar'), ('Student', 'Miss Rafia  Al-Jassim', 'Georgetown University School of Foreign Service in Qatar')]","[('Georgetown University School of Foreign Service in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29417&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
3,YSREP 1 - 033 - 1 - 006,YSREP,Carnegie Mellon University - Qatar,Award Tech. Completed,01 Apr 2012,Dr. Thierry Sans,3 Year(s),31 Mar 2015,New,A type-safe programming language to build safe and secure web applications,Language based security, Type Theory, Information Flow, Programming Language for the Web, Cloud Computing,Basic research,"[('PI', 'Dr. Thierry Sans', 'Carnegie Mellon University - Qatar')]","[('Carnegie Mellon University - Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2711&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
4,YSREP 1 - 017 - 1 - 003,YSREP,Qatar University,Award Tech. Completed,01 Apr 2012,Dr. Dana Alabdulmalik,2 Year(s),20 Oct 2014,New,Modification and Automation of a Positron Annihilation Combined System for Studying Temperature-Dependent Microscopic Changes in Polymers,positron annihilation, Doppler broadening, material science, polymers, microscopic structures,Applied research,"[('PI', 'Dr. Dana Alabdulmalik', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2695&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
5,YSREP 1 - 009 - 3 - 003,YSREP,Weill Cornell Medical College in Qatar,Award Tech. Completed,01 Sep 2012,Dr. Rym SKANJI,1 Year(s),18 Dec 2013,New,Novel Fluorescence-quenching Lipid Probes for Intracellular Lipoplex Tracking,fluorescence-quenching, probes, intracellular, trafficking, non-viral vectors,Applied research,"[('PI', 'Dr. Rachel Jones', 'Weill Cornell Medical College in Qatar'), ('PI', 'Dr. Rym SKANJI', 'Qatar University')]","[('Weill Cornell Medical College in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2687&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
6,YSREP 1 - 018 - 1 - 004,YSREP,Carnegie Mellon University - Qatar,Award Tech. Completed,01 Apr 2012,Dr. Behrang Mohit,3 Year(s),04 Jul 2015,New,Expanding Arabic Wikipedia by Statisitcal Machine Translation,Human Language Technology, Natural Language Processing, Machine Translation, Wikipedia, Confidence Estimation,Applied research,"[('PI', 'Dr. Behrang Mohit', 'Carnegie Mellon University - Qatar')]","[('Carnegie Mellon University - Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2696&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
7,YSREP 1 - 019 - 2 - 008,YSREP,Carnegie Mellon University - Qatar,Award Terminated,01 Oct 2012,Dr. Peter Hansen,3 Year(s),01 Oct 2015,New,Visual SLAM using an Array of Cameras,Localization and Mapping, SLAM, Stereo Vision, Omnidirection (Spherical) Vision, Mobile Robots,Applied research,"[('PI', 'Dr. Peter Hansen', 'Carnegie Mellon University - Qatar')]","[('Carnegie Mellon University - Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2697&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
8,UREP22-155-3-029,UREP,Qatar University,Award Pending - Vetted,,Dr. Sowndramalingam Sankaralingam,1 Year(s),,New,Induction of Glyoxalase1 as a Strategy to Prevent Methylglyoxal-Induced Cardiac Insulin Resistance: Implications for Diabetic Cardiomyopathy,Diabetes, Cardiomyopathy, Methylglyoxal, Glyoxalase, Insulin resistance,Basic research,"[('Primary Research Mentor', 'Dr. Sowndramalingam Sankaralingam', 'Qatar University'), ('Industry Research Mentor', 'Dr. Manjunath Ramanjaneya', 'Hamad Medical Corporation'), ('Industry Research Mentor', 'Dr. Manjunath Ramanjaneya', 'Hamad Medical Corporation'), ('Student', 'Ms. Sara Rabie', 'Qatar University'), ('Student', 'Ms. Iqrah Qurishi', 'Qatar University'), ('Student', 'Ms. Meram Ibrahim', 'Qatar University'), ('Student', 'Miss Raghad Shalfawi', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution'), ('Hamad Medical Corporation', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29343&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
9,UREP22-148-1-024,UREP,Qatar University,Award Pending - Vetted,,Dr. Yousria Soliman,1 Year(s),,New,Comparing blue carbon stocks in salt marshes and mangrove habitats in the east coast of Qatar- Cental Arabian Gulf,Mangrove, Saltmarsh, Sediment, Carbon, Arabian Gulf,Basic research,"[('Primary Research Mentor', 'Dr. Yousria Soliman', 'Qatar University'), ('Student', 'Mr. Hamed Alhosin', 'Qatar University'), ('Student', 'Ms. Sareh Khodadady', 'Qatar University'), ('Student', 'Mr. Abdulaziz  Harharah', 'Qatar University'), ('Research Mentor', 'Dr. Jassim Al-Khayat', 'Qatar University'), ('Research Mentor', 'Dr. Jassim Al-Khayat', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29330&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
