_id,Proposal Number:,institution,country,role
0,YSREP 2 - 011 - 2 - 002,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
1,YSREP 1 - 033 - 1 - 006,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
2,YSREP 1 - 002 - 5 - 00,Qatar University,Qatar,Submitting Institution
3,YSREP 1 - 019 - 2 - 008,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
4,YSREP 1 - 018 - 1 - 004,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
5,UREP23-148-5-036,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
6,YSREP 1 - 017 - 1 - 00,Qatar University,Qatar,Submitting Institution
7,UREP23-146-5-034,Qatar University,Qatar,Submitting Institution
8,YSREP 1 - 009 - 3 - 003,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
9,UREP23-135-2-046,Qatar University,Qatar,Submitting Institution
10,UREP23-133-1-028,Qatar University,Qatar,Submitting Institution
11,UREP23-131-2-044,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
12,UREP23-129-3-029,Qatar University,Qatar,Submitting Institution
13,UREP23-129-3-029,Hamad Medical Corporation,Qatar,Collaborative Institution
14,UREP23-127-3-027,Qatar University,Qatar,Submitting Institution
15,UREP23-126-5-028,Qatar University,Qatar,Submitting Institution
16,UREP23-126-5-028,University of Western Sydney,Australia,Collaborative Institution
17,UREP23-117-3-025,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
18,UREP23-116-2-041,Qatar University,Qatar,Submitting Institution
19,UREP23-114-5-021,Qatar University,Qatar,Submitting Institution
20,UREP23-113-2-040,Qatar University,Qatar,Submitting Institution
21,UREP23-108-6-003,Virginia Commonwealth University in Qatar (VCUQatar),Qatar,Submitting Institution
22,UREP23-104-2-036,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
23,UREP23-104-2-036,Qatar Biobank for Medical Research,Qatar,Collaborative Institution
24,UREP23-101-5-016,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
25,UREP23-101-5-016,Carnegie Mellon University - Qatar,Qatar,Collaborative Institution
26,UREP23-097-1-026,Qatar University,Qatar,Submitting Institution
27,UREP23-082-2-032,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
28,UREP23-079-3-016,Qatar University,Qatar,Submitting Institution
29,UREP23-065-1-014,Hamad Bin Khalifa University,Qatar,Submitting Institution
30,UREP23-062-3-014,Qatar University,Qatar,Submitting Institution
31,UREP23-057-1-011,Qatar University,Qatar,Submitting Institution
32,UREP23-057-1-011,Anti-Doping Laboratory Qatar,Qatar,Collaborative Institution
33,UREP23-056-2-028,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
34,UREP23-056-2-028,Qatar University,Qatar,Collaborative Institution
35,UREP23-048-2-023,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
36,UREP23-046-3-012,Qatar University,Qatar,Submitting Institution
37,UREP23-046-3-012,Hamad Medical Corporation,Qatar,Collaborative Institution
38,UREP23-041-2-019,Qatar University,Qatar,Submitting Institution
39,UREP23-041-2-019,ConocoPhillips Water Technology Ltd QSTP-B,Qatar,Collaborative Institution
40,UREP23-031-2-014,Qatar University,Qatar,Submitting Institution
41,UREP23-027-2-012,Qatar University,Qatar,Submitting Institution
42,UREP23-026-2-011,Qatar University,Qatar,Submitting Institution
43,UREP23-012-2-002,Qatar University,Qatar,Submitting Institution
44,UREP23-006-5-001,Qatar University,Qatar,Submitting Institution
45,UREP22-180-5-048,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
46,UREP22-176-3-034,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
47,UREP22-176-3-034,"Qatar Diabetes Association, Qatar Foundation",Qatar,Collaborative Institution
48,UREP22-160-5-043,Qatar University,Qatar,Submitting Institution
49,UREP22-155-3-029,Qatar University,Qatar,Submitting Institution
50,UREP22-155-3-029,Hamad Medical Corporation,Qatar,Collaborative Institution
51,UREP22-148-1-024,Qatar University,Qatar,Submitting Institution
52,UREP22-145-1-022,Qatar University,Qatar,Submitting Institution
53,UREP22-143-3-024,Qatar University,Qatar,Submitting Institution
54,UREP22-140-3-023,Qatar University,Qatar,Submitting Institution
55,UREP22-128-5-033,Qatar University,Qatar,Submitting Institution
56,UREP22-120-5-030,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
57,UREP22-118-1-018,Qatar University,Qatar,Submitting Institution
